"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should login successfully with valid credentials3","","Wed Oct 01 18:15:30 IST 2025","skipped","Wed Oct 01 18:15:30 IST 2025","","bclinward.spec.js","",""
"","14241","5-Upload PRD File","","Mon Oct 06 13:05:16 IST 2025","passed","Mon Oct 06 13:05:30 IST 2025","","usecase2.spec.js","",""
"","42051","6-Inward the item to Brandcall-Log Disposition","","Mon Oct 06 10:46:54 IST 2025","passed","Mon Oct 06 10:47:36 IST 2025","Mobile App Login Test","usecase1.spec.js","",""
"","23355","should login successfully with valid credentials2","","Thu Oct 02 13:39:38 IST 2025","failed","Thu Oct 02 13:40:01 IST 2025","Mobile App Login Test","dispatchflow.spec.js","",""
"","939","Verify PRD Data","","Fri Oct 03 15:36:17 IST 2025","failed","Fri Oct 03 15:36:18 IST 2025","","usecase1.spec.js","",""
"","1","Verify BrandcallLogModule","","Tue Sep 30 16:06:53 IST 2025","skipped","Tue Sep 30 16:06:53 IST 2025","","bclinward.spec.js","",""
"","14270","Upload PRD File","","Fri Oct 03 11:45:38 IST 2025","passed","Fri Oct 03 11:45:52 IST 2025","","usecase1.spec.js","",""
"","1","Liquidation","","Thu Oct 02 22:00:47 IST 2025","skipped","Thu Oct 02 22:00:47 IST 2025","Mobile App Login Test","usecase1.spec.js","",""
"","0","should login successfully with valid credentials","","Wed Oct 01 17:18:36 IST 2025","skipped","Wed Oct 01 17:18:36 IST 2025","","bclinward.spec.js","",""
"","0","pickup request","","Wed Oct 01 14:09:35 IST 2025","skipped","Wed Oct 01 14:09:35 IST 2025","Mobile App Login Test","bclinward.spec.js","",""
"","9389","should login successfully with valid credentials","","Wed Oct 01 17:27:37 IST 2025","failed","Wed Oct 01 17:27:46 IST 2025","Mobile App Login Test","dispatchflow.spec.js","",""
"","30111","3-Return approval By BSM and RCSM","","Mon Oct 06 10:45:46 IST 2025","passed","Mon Oct 06 10:46:16 IST 2025","","usecase1.spec.js","",""
"","19174","12-Update Dispatch Details","","Mon Oct 06 10:50:05 IST 2025","passed","Mon Oct 06 10:50:24 IST 2025","","usecase1.spec.js","",""
"","0","3-Return approval By BSM and RCSM","","Fri Oct 03 12:45:31 IST 2025","skipped","Fri Oct 03 12:45:31 IST 2025","","usecase2.spec.js","",""
"","18001","PRD Creation","","Thu Oct 02 22:00:26 IST 2025","passed","Thu Oct 02 22:00:44 IST 2025","","usecase1.spec.js","",""
"","14892","Dispatch process","","Thu Oct 02 18:18:31 IST 2025","passed","Thu Oct 02 18:18:46 IST 2025","","bclinward.spec.js","",""
"","8714","Verify RTV Module","","Tue Sep 30 12:58:37 IST 2025","failed","Tue Sep 30 12:58:46 IST 2025","","bclinward.spec.js","",""
